Albany Creek State High School,Music,4
Albany Creek State High School,Mathematics C,6
Albany Creek State High School,Japanese,9
Albany Creek State High School,Accounting,11
Albany Creek State High School,Geography,14
Albany Creek State High School,Home Economics,14
Albany Creek State High School,Chemistry,18
Albany Creek State High School,Modern History,18
Albany Creek State High School,Physics,18
Albany Creek State High School,Visual Art,18
Albany Creek State High School,Dance,25
Albany Creek State High School,Drama,25
Albany Creek State High School,Ancient History,26
Albany Creek State High School,Graphics,26
Albany Creek State High School,Hospitality Studies,27
Albany Creek State High School,Science21,27
Albany Creek State High School,Information Technology Systems,40
Albany Creek State High School,Legal Studies,47
Albany Creek State High School,Business Communication & Technologies,52
Albany Creek State High School,Physical Education,54
Albany Creek State High School,Mathematics B,60
Albany Creek State High School,Biology,77
Albany Creek State High School,Mathematics A,130
Albany Creek State High School,English,147
Aldridge State High School,Economics,1
Aldridge State High School,Visual Art,5
Aldridge State High School,Mathematics C,6
Aldridge State High School,English Extension,7
Aldridge State High School,Music,7
Aldridge State High School,Business Management,9
Aldridge State High School,Modern History,9
Aldridge State High School,Physics,9
Aldridge State High School,Japanese,10
Aldridge State High School,Agricultural Science,12
Aldridge State High School,Graphics,12
Aldridge State High School,Business Communication & Technologies,13
Aldridge State High School,Dance,17
Aldridge State High School,Information Technology Systems,17
Aldridge State High School,Accounting,20
Aldridge State High School,Home Economics,20
Aldridge State High School,Chemistry,22
Aldridge State High School,Drama,22
Aldridge State High School,Legal Studies,23
Aldridge State High School,Mathematics B,27
Aldridge State High School,Biology,32
Aldridge State High School,Ancient History,35
Aldridge State High School,Science21,35
Aldridge State High School,Physical Education,39
Aldridge State High School,"Film, Television and New Media",41
Aldridge State High School,Mathematics A,96
Aldridge State High School,English,105
Alexandra Hills State High School,Mathematics C,9
Alexandra Hills State High School,Modern History,9
Alexandra Hills State High School,Health Education,11
Alexandra Hills State High School,Japanese,11
Alexandra Hills State High School,Music Extension,11
Alexandra Hills State High School,Business Communication & Technologies,14
Alexandra Hills State High School,Information Technology Systems,15
Alexandra Hills State High School,Ancient History,16
Alexandra Hills State High School,German,16
Alexandra Hills State High School,Science21,16
Alexandra Hills State High School,Graphics,17
Alexandra Hills State High School,Home Economics,17
Alexandra Hills State High School,Music,18
Alexandra Hills State High School,Physical Education,18
Alexandra Hills State High School,Drama,19
Alexandra Hills State High School,"Film, Television and New Media",19
Alexandra Hills State High School,Business Management,20
Alexandra Hills State High School,Italian,20
Alexandra Hills State High School,Physics,20
Alexandra Hills State High School,Dance,23
Alexandra Hills State High School,Visual Art,23
Alexandra Hills State High School,Legal Studies,26
Alexandra Hills State High School,Chemistry,38
Alexandra Hills State High School,Biology,47
Alexandra Hills State High School,Mathematics B,51
Alexandra Hills State High School,Mathematics A,110
Alexandra Hills State High School,English,114
Aspley State High School,Graphics,5
Aspley State High School,Music,6
Aspley State High School,Drama,9
Aspley State High School,Legal Studies,9
Aspley State High School,Visual Art,10
Aspley State High School,Ancient History,16
Aspley State High School,Mathematics C,16
Aspley State High School,Physics,18
Aspley State High School,Physical Education,19
Aspley State High School,Economics,25
Aspley State High School,Modern History,25
Aspley State High School,Chemistry,33
Aspley State High School,Mathematics B,33
Aspley State High School,Biology,43
Aspley State High School,Mathematics A,62
Aspley State High School,English,71
Atherton State High School,Dance,1
Atherton State High School,Geography,6
Atherton State High School,Accounting,9
Atherton State High School,Graphics,9
Atherton State High School,Mathematics C,9
Atherton State High School,Modern History,9
Atherton State High School,Music,9
Atherton State High School,Business Communication & Technologies,12
Atherton State High School,Drama,12
Atherton State High School,Aerospace Studies,14
Atherton State High School,"Film, Television and New Media",16
Atherton State High School,Physics,16
Atherton State High School,Ancient History,17
Atherton State High School,Information Technology Systems,19
Atherton State High School,Agricultural Science,22
Atherton State High School,Visual Art,22
Atherton State High School,Home Economics,26
Atherton State High School,Chemistry,29
Atherton State High School,Physical Education,37
Atherton State High School,Biology,42
Atherton State High School,Mathematics B,52
Atherton State High School,Mathematics A,71
Atherton State High School,English,89
Aviation High School,Drama,4
Aviation High School,Biology,7
Aviation High School,Graphics,7
Aviation High School,Music,10
Aviation High School,Visual Art,15
Aviation High School,Accounting,18
Aviation High School,Geography,20
Aviation High School,Physical Education,20
Aviation High School,Mathematics C,21
Aviation High School,Business Management,25
Aviation High School,Chemistry,25
Aviation High School,Mathematics A,27
Aviation High School,Business Communication & Technologies,30
Aviation High School,Physics,37
Aviation High School,Aerospace Studies,40
Aviation High School,Mathematics B,56
Aviation High School,English,64
Ayr State High School,Music,4
Ayr State High School,Accounting,7
Ayr State High School,Mathematics C,9
Ayr State High School,Chemistry,10
Ayr State High School,Visual Art,11
Ayr State High School,Drama,13
Ayr State High School,Legal Studies,15
Ayr State High School,Modern History,17
Ayr State High School,Physics,17
Ayr State High School,Biology,19
Ayr State High School,Physical Education,19
Ayr State High School,Mathematics B,20
Ayr State High School,Graphics,22
Ayr State High School,Mathematics A,39
Ayr State High School,English,42
Babinda State School,Ancient History,3
Babinda State School,Biology,4
Babinda State School,Accounting,5
Babinda State School,Graphics,9
Babinda State School,Geography,10
Babinda State School,Mathematics B,10
Babinda State School,"Film, Television and New Media",11
Babinda State School,Chemistry,12
Babinda State School,English,17
Babinda State School,Mathematics A,22
Balmoral State High School,Music Extension,2
Balmoral State High School,Music,3
Balmoral State High School,Dance,6
Balmoral State High School,Visual Art,9
Balmoral State High School,Mathematics C,10
Balmoral State High School,Chemistry,11
Balmoral State High School,Aerospace Studies,12
Balmoral State High School,Drama,12
Balmoral State High School,Modern History,12
Balmoral State High School,Physics,12
Balmoral State High School,Accounting,16
Balmoral State High School,"Film, Television and New Media",17
Balmoral State High School,Physical Education,18
Balmoral State High School,Mathematics B,20
Balmoral State High School,Business Management,21
Balmoral State High School,Graphics,23
Balmoral State High School,Legal Studies,23
Balmoral State High School,Biology,38
Balmoral State High School,Mathematics A,52
Balmoral State High School,English,57
Barcaldine Prep-12 State School,Legal Studies,2
Barcaldine Prep-12 State School,Mathematics B,2
Barcaldine Prep-12 State School,Modern History,2
Barcaldine Prep-12 State School,Physics,2
Barcaldine Prep-12 State School,Chemistry,3
Barcaldine Prep-12 State School,Home Economics,5
Barcaldine Prep-12 State School,Visual Art,5
Barcaldine Prep-12 State School,Physical Education,8
Barcaldine Prep-12 State School,Biology,9
Barcaldine Prep-12 State School,English,9
Barcaldine Prep-12 State School,Mathematics A,10
Beaudesert State High School,Earth Science,1
Beaudesert State High School,Legal Studies,13
Beaudesert State High School,Mathematics C,13
Beaudesert State High School,Business Communication & Technologies,16
Beaudesert State High School,Japanese,16
Beaudesert State High School,Modern History,18
Beaudesert State High School,Ancient History,20
Beaudesert State High School,Hospitality Studies,22
Beaudesert State High School,Information Processing & Technology,22
Beaudesert State High School,Graphics,24
Beaudesert State High School,Agricultural Science,25
Beaudesert State High School,Dance,27
Beaudesert State High School,Science21,35
Beaudesert State High School,Physical Education,37
Beaudesert State High School,Physics,39
Beaudesert State High School,Drama,44
Beaudesert State High School,Visual Art,49
Beaudesert State High School,"Film, Television and New Media",58
Beaudesert State High School,Biology,62
Beaudesert State High School,Chemistry,65
Beaudesert State High School,Mathematics B,76
Beaudesert State High School,Mathematics A,134
Beaudesert State High School,English,152
Beenleigh State High School,Music Extension,3
Beenleigh State High School,Japanese,6
Beenleigh State High School,Visual Art,7
Beenleigh State High School,Agricultural Science,8
Beenleigh State High School,Chemistry,10
Beenleigh State High School,Business Communication & Technologies,12
Beenleigh State High School,Drama,15
Beenleigh State High School,Physics,15
Beenleigh State High School,Accounting,16
Beenleigh State High School,Geography,16
Beenleigh State High School,Home Economics,16
Beenleigh State High School,Technology Studies,16
Beenleigh State High School,Graphics,17
Beenleigh State High School,Physical Education,17
Beenleigh State High School,Dance,18
Beenleigh State High School,Modern History,18
Beenleigh State High School,Music,18
Beenleigh State High School,Mathematics B,22
Beenleigh State High School,Ancient History,23
Beenleigh State High School,Biology,29
Beenleigh State High School,"Film, Television and New Media",35
Beenleigh State High School,Legal Studies,44
Beenleigh State High School,Mathematics A,70
Beenleigh State High School,English,84
Beerwah State High School,Modern History,2
Beerwah State High School,Chemistry,11
Beerwah State High School,Spanish,12
Beerwah State High School,Dance,13
Beerwah State High School,Visual Art,13
Beerwah State High School,Biology,15
Beerwah State High School,Graphics,17
Beerwah State High School,Business Management,20
Beerwah State High School,Physical Education,20
Beerwah State High School,"Film, Television and New Media",21
Beerwah State High School,Mathematics B,21
Beerwah State High School,Geography,22
Beerwah State High School,Legal Studies,23
Beerwah State High School,Physics,23
Beerwah State High School,English,75
Beerwah State High School,Mathematics A,91
Benowa State High School,English Extension,9
Benowa State High School,Music Extension,9
Benowa State High School,Economics,13
Benowa State High School,Japanese,15
Benowa State High School,Music,17
Benowa State High School,Accounting,18
Benowa State High School,French Extension,18
Benowa State High School,Dance,25
Benowa State High School,French,29
Benowa State High School,Business Communication & Technologies,30
Benowa State High School,Geography,30
Benowa State High School,Legal Studies,31
Benowa State High School,Drama,37
Benowa State High School,Physics,37
Benowa State High School,Physical Education,38
Benowa State High School,Mathematics C,39
Benowa State High School,Visual Art,44
Benowa State High School,Business Management,52
Benowa State High School,Marine Science,53
Benowa State High School,Modern History,54
Benowa State High School,Graphics,56
Benowa State High School,Health Education,60
Benowa State High School,Ancient History,61
Benowa State High School,Chemistry,63
Benowa State High School,Mathematics B,89
Benowa State High School,Biology,102
Benowa State High School,Mathematics A,231
Benowa State High School,English,249
Bentley Park College,Geography,3
Bentley Park College,Mathematics C,5
Bentley Park College,Modern History,6
Bentley Park College,Dance,7
Bentley Park College,Home Economics,7
Bentley Park College,Business Communication & Technologies,8
Bentley Park College,Drama,8
Bentley Park College,"Film, Television and New Media",8
Bentley Park College,Visual Art,8
Bentley Park College,Physics,12
Bentley Park College,Aboriginal & Torres Strait Islander Studies,13
Bentley Park College,Graphics,13
Bentley Park College,Information Processing & Technology,13
Bentley Park College,Chemistry,15
Bentley Park College,Music,15
Bentley Park College,Physical Education,16
Bentley Park College,Information Technology Systems,22
Bentley Park College,Mathematics B,24
Bentley Park College,Biology,25
Bentley Park College,Mathematics A,50
Bentley Park College,English,55
Biloela State High School,Agricultural Science,4
Biloela State High School,Accounting,6
Biloela State High School,Mathematics C,6
Biloela State High School,Drama,8
Biloela State High School,Music,8
Biloela State High School,Ancient History,9
Biloela State High School,Business Communication & Technologies,10
Biloela State High School,Legal Studies,11
Biloela State High School,Physics,11
Biloela State High School,Physical Education,14
Biloela State High School,Chemistry,16
Biloela State High School,Home Economics,16
Biloela State High School,Visual Art,19
Biloela State High School,Geography,20
Biloela State High School,Biology,24
Biloela State High School,Mathematics B,25
Biloela State High School,English,37
Biloela State High School,Mathematics A,47
Blackall State School,Mathematics B,1
Blackall State School,Visual Art,1
Blackall State School,Biology,2
Blackall State School,Agricultural Science,4
Blackall State School,English,4
Blackall State School,"Film, Television and New Media",4
Blackall State School,Mathematics A,5
Blackwater State High School,Geography,1
Blackwater State High School,Music,1
Blackwater State High School,Accounting,3
Blackwater State High School,Study of Society,3
Blackwater State High School,"Film, Television and New Media",4
Blackwater State High School,Chemistry,6
Blackwater State High School,Physical Education,6
Blackwater State High School,Physics,6
Blackwater State High School,Modern History,8
Blackwater State High School,Biology,9
Blackwater State High School,Mathematics B,9
Blackwater State High School,Visual Art,12
Blackwater State High School,Home Economics,14
Blackwater State High School,English,22
Blackwater State High School,Mathematics A,22
Boonah State High School,German,6
Boonah State High School,Mathematics C,6
Boonah State High School,Drama,8
Boonah State High School,Graphics,8
Boonah State High School,Physics,11
Boonah State High School,Visual Art,11
Boonah State High School,Physical Education,15
Boonah State High School,Chemistry,16
Boonah State High School,Information Processing & Technology,17
Boonah State High School,Modern History,19
Boonah State High School,Business Communication & Technologies,22
Boonah State High School,Geography,23
Boonah State High School,Mathematics B,24
Boonah State High School,Biology,34
Boonah State High School,English,48
Boonah State High School,Mathematics A,51
Bowen State High School,Geography,10
Bowen State High School,Accounting,12
Bowen State High School,Drama,12
Bowen State High School,Physics,12
Bowen State High School,Visual Art,15
Bowen State High School,Physical Education,18
Bowen State High School,Graphics,23
Bowen State High School,Chemistry,25
Bowen State High School,Legal Studies,26
Bowen State High School,Biology,27
Bowen State High School,Mathematics B,39
Bowen State High School,English,51
Bowen State High School,Mathematics A,58
Bracken Ridge State High School,Japanese,5
Bracken Ridge State High School,Ancient History,9
Bracken Ridge State High School,Business Communication & Technologies,9
Bracken Ridge State High School,Information Processing & Technology,10
Bracken Ridge State High School,Mathematics C,10
Bracken Ridge State High School,Accounting,11
Bracken Ridge State High School,Physics,12
Bracken Ridge State High School,Visual Art,12
Bracken Ridge State High School,Chemistry,14
Bracken Ridge State High School,Modern History,16
Bracken Ridge State High School,Mathematics B,17
Bracken Ridge State High School,Physical Education,17
Bracken Ridge State High School,Drama,20
Bracken Ridge State High School,Geography,27
Bracken Ridge State High School,Biology,42
Bracken Ridge State High School,Mathematics A,59
Bracken Ridge State High School,English,67
Bray Park State High School,Music Extension,3
Bray Park State High School,Legal Studies,7
Bray Park State High School,Mathematics C,7
Bray Park State High School,English Extension,8
Bray Park State High School,Information Technology Systems,10
Bray Park State High School,Music,11
Bray Park State High School,Visual Art,12
Bray Park State High School,Business Communication & Technologies,13
Bray Park State High School,Physics,13
Bray Park State High School,Drama,14
Bray Park State High School,Geography,14
Bray Park State High School,Biology,18
Bray Park State High School,Home Economics,18
Bray Park State High School,Ancient History,20
Bray Park State High School,Physical Education,20
Bray Park State High School,Chemistry,22
Bray Park State High School,Mathematics B,24
Bray Park State High School,Mathematics A,51
Bray Park State High School,English,52
Bremer State High School,Music Extension,2
Bremer State High School,Mathematics C,9
Bremer State High School,Modern History,9
Bremer State High School,Accounting,10
Bremer State High School,Dance,12
Bremer State High School,Music,12
Bremer State High School,Graphics,13
Bremer State High School,Technology Studies,15
Bremer State High School,Ancient History,19
Bremer State High School,Drama,19
Bremer State High School,Legal Studies,19
Bremer State High School,Health Education,20
Bremer State High School,Visual Art,21
Bremer State High School,"Film, Television and New Media",22
Bremer State High School,Information Technology Systems,22
Bremer State High School,Chemistry,25
Bremer State High School,Business Management,26
Bremer State High School,Physics,27
Bremer State High School,Business Communication & Technologies,50
Bremer State High School,Science21,56
Bremer State High School,Biology,60
Bremer State High School,Physical Education,61
Bremer State High School,Mathematics B,66
Bremer State High School,English,135
Bremer State High School,Mathematics A,149
Bribie Island State High School,Dance,7
Bribie Island State High School,Physics,9
Bribie Island State High School,Music,10
Bribie Island State High School,Business Communication & Technologies,12
Bribie Island State High School,Graphics,13
Bribie Island State High School,Mathematics C,13
Bribie Island State High School,Visual Art,14
Bribie Island State High School,Science21,16
Bribie Island State High School,Chemistry,18
Bribie Island State High School,Modern History,18
Bribie Island State High School,Geography,19
Bribie Island State High School,Physical Education,19
Bribie Island State High School,Ancient History,23
Bribie Island State High School,Mathematics B,30
Bribie Island State High School,Legal Studies,34
Bribie Island State High School,Biology,38
Bribie Island State High School,"Film, Television and New Media",43
Bribie Island State High School,Drama,47
Bribie Island State High School,Mathematics A,77
Bribie Island State High School,English,93
Brisbane Bayside State College,Music,10
Brisbane Bayside State College,Geography,12
Brisbane Bayside State College,Physics,13
Brisbane Bayside State College,English Extension,14
Brisbane Bayside State College,Mathematics C,14
Brisbane Bayside State College,Dance,15
Brisbane Bayside State College,Legal Studies,15
Brisbane Bayside State College,Home Economics,18
Brisbane Bayside State College,Chemistry,19
Brisbane Bayside State College,Visual Art,19
Brisbane Bayside State College,Modern History,21
Brisbane Bayside State College,"Film, Television and New Media",22
Brisbane Bayside State College,Drama,23
Brisbane Bayside State College,Study of Society,23
Brisbane Bayside State College,Business Communication & Technologies,24
